  9030,"1989 UX5   ","09030   ",11.10,+0.15,2455329.5281605,  9,  0, 12, 13,"DVBI", 32.186,  0.683,0.062,0.007,0.173,0.041,0.890,0.030,"-","Gr12b",""
  9142,"-          ","09142   ",10.50,+0.15,2455276.0708410,  0,  0, 10, 10,"DVB-", 42.306,  0.460,0.062,0.015,0.125,0.023,0.825,0.013,"-","Gr12b",""
  9430,"-          ","09430   ",11.20,+0.15,2455298.5671855,  0,  0, 14, 13,"DVB-", 27.532,  0.287,0.077,0.010,0.154,0.066,0.799,0.011,"-","Gr12b",""
  9431,"1996 PS1   ","09431   ",10.50,+0.15,2455432.7864860, 13,  0, 12,  0,"DV-I", 38.358,  3.481,0.076,0.026,0.174,0.017,0.770,0.050,"-","Gr12b",""
  9694,"-          ","09694   ",10.60,+0.15,2455498.8678420, 11,  0, 10, 11,"DVBI", 31.736,  0.243,0.101,0.010,0.220,0.023,0.855,0.010,"-","Gr12b",""
  9712,"-          ","09712   ",10.70,+0.15,2455432.7196970,  4,  0,  5,  0,"DV-I", 33.423,  4.321,0.083,0.026,0.110,0.022,0.770,0.050,"-","Gr12b",""
  9713,"-          ","09713   ",11.20,+0.15,2455426.6008375,  0,  0,  1,  0,"DV--", 18.651,  3.375,0.168,0.086,0.336,0.266,0.770,0.050,"-","Gr12b",""
  9790,"1995 OK8   ","09790   ",10.80,+0.15,2455209.9404860,  0,  0, 10, 10,"DVB-", 32.771,  0.277,0.079,0.011,0.157,0.057,1.078,0.021,"-","Gr12b",""
  9799,"1996 RJ    ","09799   ", 9.50,+0.15,2455211.8629795, 12, 12, 12, 12,"DVBI", 68.033,  0.573,0.060,0.012,0.117,0.012,0.782,0.012,"-","Gr12b",""
  9807,"1997 SJ4   ","09807   ",11.30,+0.15,2455441.8130885,  0,  0,  4,  0,"DV--", 24.683,  1.787,0.088,0.012,0.175,0.045,0.770,0.050,"-","Gr12b",""
  9817,"-          ","09817   ",11.30,+0.15,2455425.8388475,  0,  0,  3,  0,"DV--", 22.879,  2.052,0.102,0.026,0.204,0.035,0.770,0.050,"-","Gr12b",""
  9818,"-          ","09818   ",11.00,+0.15,2455508.5902870,  0,  0, 11,  0,"DV--", 28.076,  3.215,0.089,0.021,0.178,0.066,0.770,0.050,"-","Gr12b",""
  9828,"-          ","09828   ",11.80,+0.15,2455210.0059380,  0,  0, 11,  8,"DVB-", 20.272,  0.616,0.082,0.015,0.164,0.029,0.681,0.030,"-","Gra11",""
  9857,"1991 EN    ","09857   ",10.20,+0.15,2455226.5516945, 10,  0, 12, 12,"DVBI", 49.518,  0.528,0.060,0.010,0.090,0.016,0.812,0.012,"-","Gr12b",""
 10247,"-          ","10247   ",11.00,+0.15,2455257.8444710,  0,  0, 14, 14,"DVB-", 26.826,  0.693,0.098,0.015,0.195,0.052,0.960,0.027,"-","Gr12b",""
